Year,Date,For Model Use,Type,URL identifier,full URL,Scraped?,Fwango File Title,Open Division 1,Open Division 2,Open Division 3,Women Division 1,Women Division 2,tourney
2021,3/13/21,NA,CASR 2021,casrmh,https://fwango.io/casrmh,X,NA,NA,NA,NA,NA,NA,CASRMH
2021,4/10/21,NA,CASR 2021,casrsac,https://fwango.io/casrsac,X,NA,NA,NA,NA,NA,NA,CASRSAC
2021,5/8/21,NA,CASR 2021,casrturlock,https://fwango.io/casrturlock,X,NA,NA,NA,NA,NA,NA,CASRTURLOCK
2021,5/22/21,X,Tour Stop,2021florida,https://fwango.io/2021florida,X,NA,Premier,Contender,NA,NA,NA,2021FLORIDA
2021,5/22/21,NA,CASR 2021,casrrsm6,https://fwango.io/casrrsm6,X,NA,NA,NA,NA,NA,NA,CASRRSM6
2021,6/5/21,X,Spikeball Sanctioned,lafeyettemajor2021,https://fwango.io/lafeyettemajor2021,X,NA,Elite,NA,NA,NA,NA,LAFEYETTEMAJOR2021
2021,6/12/21,X,Tour Stop,2021texas,https://fwango.io/2021texas,X,NA,Premier,Contender,NA,Women's,NA,2021TEXAS
2021,6/12/21,X,Spikeball Sanctioned,mraminneapolis,https://fwango.io/mraminneapolis,X,NA,Expert,NA,NA,NA,NA,MRAMINNEAPOLIS
2021,6/19/21,X,Tour Stop,2021erie,https://fwango.io/2021erie,X,NA,Premier,Contender,NA,Women's,NA,2021ERIE
2021,6/19/21,NA,CASR 2021,casrslo,https://fwango.io/casrslo,X,NA,NA,NA,NA,NA,NA,CASRSLO
2021,6/26/21,X,Spikeball Sanctioned,2021socalclassic,https://fwango.io/2021socalclassic,X,NA,Premier,Contender,NA,Womens,NA,2021SOCALCLASSIC
2021,6/26/21,X,Spikeball Sanctioned,21-Jun,https://fwango.io/june21,X,NA,Expert,NA,NA,NA,NA,21-Jun
2021,7/3/21,X,Spikeball Sanctioned,nmrasantafe2021,https://fwango.io/nmrasantafe2021,X,NA,Contender,NA,NA,NA,NA,NMRASANTAFE2021
2021,7/3/21,NA,CASR 2021,casrwc,https://fwango.io/casrwc,X,NA,NA,NA,NA,NA,NA,CASRWC
2021,7/10/21,X,Spikeball Sanctioned,2021af,https://fwango.io/2021af,X,NA,Elite,NA,NA,Womens Advanced,Womens Intermediate,2021AF
2021,7/10/21,X,Tour Stop,2021rockhill,https://fwango.io/2021rockhill,X,NA,Premier,Contender,NA,Women's Advanced,NA,2021ROCKHILL
2021,7/17/21,NA,CASR 2021,casrcamarillo,https://fwango.io/casrcamarillo,X,NA,NA,NA,NA,NA,NA,CASRCAMARILLO
2021,7/23/21,X,Spikeball Sanctioned,ssnashville,https://fwango.io/ssnashville,X,NA,Expert,NA,NA,NA,NA,SSNASHVILLE
2021,7/24/21,X,Tour Stop,2021seattle,https://fwango.io/2021seattle,X,NA,Premier,Contender,NA,Women's Advanced,NA,2021SEATTLE
2021,7/31/21,X,Spikeball Sanctioned,2021buffalo,https://fwango.io/2021buffalo,X,NA,Expert,NA,NA,NA,NA,2021BUFFALO
2021,7/31/21,X,Spikeball Sanctioned,2021tahoe,https://fwango.io/2021tahoe,X,NA,Premier,Contender,NA,NA,NA,2021TAHOE
2021,8/7/21,X,Tour Stop,2021newengland,https://fwango.io/2021newengland,X,NA,Premier,Contender,NA,NA,NA,2021NEWENGLAND
2021,8/7/21,NA,CASR 2021,saclash,https://fwango.io/saclash,X,NA,NA,NA,NA,NA,NA,SACLASH
2021,8/14/21,X,Tour Stop,2021saltlakecity,https://fwango.io/2021saltlakecity,X,NA,Premier,Contender,NA,Women's,NA,2021SALTLAKECITY
2021,8/14/21,X,Spikeball Sanctioned,bang2021,https://fwango.io/bang2021,X,NA,Premier,Contender,NA,NA,NA,BANG2021
2021,8/14/21,X,Spikeball Sanctioned,bcra,https://fwango.io/bcra,X,NA,Advanced,NA,NA,Women's,NA,BCRA
2021,8/21/21,X,Tour Stop,2021chicago,https://fwango.io/2021chicago,X,NA,Premier,Contender,NA,Women's,NA,2021CHICAGO
2021,8/28/21,X,Spikeball Sanctioned,se-gainesville21,https://fwango.io/se-gainesville21,X,NA,Expert,NA,NA,Women's,NA,SE-GAINESVILLE21
2021,8/28/21,NA,CASR 2021,turlock9,https://fwango.io/turlock9,X,NA,NA,NA,NA,NA,NA,TURLOCK9
2021,9/4/21,X,Tour Stop,2021richmond,https://fwango.io/2021richmond,X,NA,Premier,Contender,NA,Women's,NA,2021RICHMOND
2021,9/7/21,X,Spikeball Sanctioned,stillwatermajor2021,https://fwango.io/stillwatermajor2021,X,NA,Elite,NA,NA,NA,NA,STILLWATERMAJOR2021
2021,9/11/21,X,Spikeball Sanctioned,houstonmajor2021,https://fwango.io/houstonmajor2021,X,NA,Premier,Contender,NA,NA,NA,HOUSTONMAJOR2021
2021,9/18/21,X,Tour Stop,2021california,https://fwango.io/2021california,X,NA,Premier,Contender,NA,Women's Advanced,Women's Intermediate,2021CALIFORNIA
2021,9/25/21,X,Spikeball Sanctioned,2021rexburg,https://fwango.io/2021rexburg,X,NA,Contender,NA,NA,Women's,NA,2021REXBURG
2021,9/25/21,X,Spikeball Sanctioned,rotc2021-5,https://fwango.io/rotc2021-5,X,NA,Elite,NA,NA,Women's Advanced,NA,ROTC2021-5
2021,10/2/21,X,Tour Stop,2021nationals,https://fwango.io/2021nationals,X,NA,Pro,Premier,Contender,Women's Advanced,Women's Intermediate,2021NATIONALS
2021,10/30/21,NA,CASR 2021,rsmfg,https://fwango.io/rsmfg,X,NA,NA,NA,NA,NA,NA,RSMFG
2021,11/20/21,NA,CASR 2021,sloel2,https://fwango.io/sloel2,X,NA,NA,NA,NA,NA,NA,SLOEL2
2021,12/18/21,NA,CASR 2021,casrsf,https://fwango.io/casrsf,X,NA,NA,NA,NA,NA,NA,CASRSF
2022,1/15/22,NA,USAR Sanctioned,usarkickoff,https://fwango.io/usarkickoff,X,NA,Open 5.0 (NHZ),Open 4.5 (NHZ),NA,Women's 4.0 (NHZ),Women's 2.0-3.0,USARKICKOFF
2022,2/19/22,NA,CASR W/S Series 22,ocg1,https://fwango.io/ocg1,X,NA,NA,NA,NA,NA,NA,OCG1
2022,3/19/22,NA,CASR W/S Series 22,sfg2,https://fwango.io/sfg2,X,NA,NA,NA,NA,NA,NA,SFG2
2022,4/2/22,X,Challenger,sts22orlandofl,https://fwango.io/sts22orlandofl,X,NA,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,STS22ORLANDOFL
2022,4/7/22,NA,CASR W/S Series 22,sdg3,https://fwango.io/sdg3,X,NA,NA,NA,NA,NA,NA,SDG3
2022,4/9/22,X,Challenger,sts22richmondva,https://fwango.io/sts22richmondva,X,NA,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,STS22RICHMONDVA
2022,4/14/22,X,USAR Sanctioned,2022-usar-nt-atl,https://fwango.io/2022-usar-nt-atl,X,NA,Men's 4.5-5.0+,NA,NA,Women's 4.5-5.0+,NA,2022-USAR-NT-ATL
2022,4/23/22,X,Challenger,sts22dallastx,https://fwango.io/sts22dallastx,X,NA,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,STS22DALLASTX
2022,5/14/22,X,Challenger,sts22seattlewa,https://fwango.io/sts22seattlewa,X,NA,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,Women's Intermediate 2.0-3.0,STS22SEATTLEWA
2022,5/21/22,X,Major,sts22sanfranciscoca,https://fwango.io/sts22sanfranciscoca,X,NA,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,STS22SANFRANCISCOCA
2022,6/4/22,X,Challenger,sts22atlantaga,https://fwango.io/sts22atlantaga,X,NA,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,STS22ATLANTAGA
2022,6/11/22,X,Challenger,sts22philadelphiapa,https://fwango.io/sts22philadelphiapa,X,NA,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,STS22PHILADELPHIAPA
2022,6/18/22,X,Challenger,sts22raleighnc,https://fwango.io/sts22raleighnc,X,NA,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,STS22RALEIGHNC
2022,7/2/22,NA,Challenger,bcroundnet,https://fwango.io/bcroundnet,X,NA,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,BCROUNDNET
2022,7/2/22,NA,Challenger,parisspikeballchallenger,https://fwango.io/parisspikeballchallenger,NA,NA,NA,NA,NA,NA,NA,PARISSPIKEBALLCHALLENGER
2022,7/9/22,X,Challenger,sts22chicagoil,https://fwango.io/sts22chicagoil,X,NA,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,STS22CHICAGOIL
2022,7/16/22,X,Major,sts22bostonma,https://fwango.io/sts22bostonma,X,NA,Premier - Field 4,Contender - 12:30 BRACKET!,NA,Women's Advanced - Field 3,NA,STS22BOSTONMA
2022,7/16/22,NA,Major,yeg-isd2022,https://fwango.io/yeg-isd2022,NA,NA,NA,NA,NA,NA,NA,YEG-ISD2022
2022,7/30/22,X,Challenger,sts22orangecountyca,https://fwango.io/sts22orangecountyca,X,NA,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,STS22ORANGECOUNTYCA
2022,7/30/22,NA,Challenger,ststoronto,https://fwango.io/ststoronto,NA,NA,NA,NA,NA,NA,NA,STSTORONTO
2022,7/30/22,X,USAR Sanctioned,ers22ct,https://fwango.io/ers22ct,X,NA,Open 4.5-5.0,NA,NA,NA,NA,ERS22CT
2022,8/6/22,X,Challenger,sts22saltlakecityut,https://fwango.io/sts22saltlakecityut,X,NA,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,STS22SALTLAKECITYUT
2022,8/13/22,X,Major,sts22columbusoh,https://fwango.io/sts22columbusoh,X,NA,Premier 5.0+,Contender - START AT 1,NA,Women's Advanced 4.0+,NA,STS22COLUMBUSOH
2022,8/20/22,X,USAR Sanctioned,ers22dc,https://fwango.io/ers22dc,X,NA,Open 4.5-5.0,NA,NA,NA,NA,ERS22DC
2022,8/27/22,NA,Challenger,sts22gent,https://fwango.io/sts22gent,NA,NA,NA,NA,NA,NA,NA,STS22GENT
2022,9/24/22,X,USAR Sanctioned,dallas2022,https://fwango.io/dallas2022,X,NA,Gold 5.0,NA,NA,NA,NA,DALLAS2022
2022,10/15/22,X,USAR Sanctioned,austin2022,https://fwango.io/austin2022,X,NA,Gold 5.0,NA,NA,NA,NA,AUSTIN2022
2022,10/22/22,X,Championship,2022championship,https://fwango.io/2022championship,X,NA,Pro,Premier 5.0+,Contender 4.5+,Women's Advanced 4.0+,NA,2022CHAMPIONSHIP
2022,12/3/22,X,USAR Sanctioned,texasnationals,https://fwango.io/texasnationals,X,NA,Platinum 5.5,Gold 5.0,NA,NA,NA,TEXASNATIONALS
2023,2/18/23,X,USAR Sanctioned,waco2023,https://fwango.io/waco2023,Manual Download,Waco Major - Match results,Gold 5.0,NA,NA,NA,NA,WACO2023
2023,3/18/23,X,USAR Sanctioned,casropen,https://fwango.io/casropen,Manual Download,Stanton Open #1 - California Roundnet - Match results,Expert 5.0,NA,NA,Womens 4.5,NA,CASROPEN
2023,4/1/23,X,USAR Sanctioned,open2,https://fwango.io/open2,Manual Download,San Jose Open #2 -California Roundnet - Match results,Expert 4.0-5.0,NA,NA,NA,NA,OPEN2
2023,4/1/23,X,USAR Sanctioned,fl-roundnet-open-23,https://fwango.io/fl-roundnet-open-23,Manual Download,Florida Roundnet Open - Spikeball Challenger 2023 - Match results,Premier (5.0),NA,NA,Women's (3.0-5.0),NA,FL-ROUNDNET-OPEN-23
2023,4/15/23,X,Major,richmond2023,https://fwango.io/richmond2023,Manual Download,The Richmond Major 2023 - Match results,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,RICHMOND2023
2023,4/29/23,X,USAR Sanctioned,tasr-houston-major,https://fwango.io/tasr-houston-major,Manual Download,TASR Houston Major - Match results,Gold 5.0,NA,NA,NA,NA,TASR-HOUSTON-MAJOR
2023,5/6/23,X,USAR Sanctioned,tograndslam2023,https://fwango.io/tograndslam2023,Manual Download,The Thousand Oaks Grand Slam - Spikeball Challenger 2023 - Match results,Expert 5.0+,NA,NA,Womens 4.0+,NA,TOGRANDSLAM2023
2023,6/3/23,X,Major,saltlakecity2023,https://fwango.io/saltlakecity2023,Manual Download,The Salt Lake City Major 2023 - Match results,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,SALTLAKECITY2023
2023,6/10/23,X,Challenger,scgrandslam2023,https://fwango.io/scgrandslam2023,Manual Download,The Santa Cruz Grand Slam - Spikeball Challenger - Match results,Expert 5.0+,Contender 4.5,NA,Womens 4.0+,NA,SCGRANDSLAM2023
2023,6/17/23,X,Challenger,queencityclassic2023,https://fwango.io/queencityclassic2023,Manual Download,Queen City Classic - Spikeball Challenger 2023 - Match results,Premier 5.0+,Contender 4.5+,NA,Womens Advanced 4.0+,NA,QUEENCITYCLASSIC2023
2023,6/17/23,X,Challenger,sdgrandslam2023,https://fwango.io/sdgrandslam2023,Manual Download,The San Diego Grand Slam - Spikeball Challenger 2023 - Match results,Expert 5.0+,Contender 4.5,NA,Womens 4.0+,NA,SDGRANDSLAM2023
2023,6/24/23,X,Challenger,ers23nova,https://fwango.io/ers23nova,Manual Download,The NOVA Clash _ Spikeball Challenger 2023 _ DAY 1 - Match results,5.0+ Premier (Open),4.5+ Contender (Open),NA,4.0+ Women's Advanced,NA,ERS23NOVA
2023,7/1/23,X,Challenger,sts23portlandopen,https://fwango.io/sts23portlandopen,Manual Download,The Portland Open - Spikeball Challenger 2023 - Match results,Premier 5.0+,ontender 4.5+,NA,Women's Advanced 4.0+,NA,STS23PORTLANDOPEN
2023,7/8/23,X,Challenger,long-island-classic-2023,https://fwango.io/long-island-classic-2023,Manual Download,Long Island Classic - Spikeball Challenger 2023 - Match results,Premier (5.0+),Contender (4.5),NA,Women's 4.0,NA,LONG-ISLAND-CLASSIC-2023
2023,7/8/23,X,USAR Sanctioned,open3,https://fwango.io/open3,Manual Download,Los Angeles Open #3 -California Roundnet - Match results,Expert 5.0,NA,NA,NA,NA,OPEN3
2023,7/8/23,X,Challenger,windy-city-classic-23,https://fwango.io/windy-city-classic-23,Manual Download,Windy City Classic-Spikeball Challenger 2023 - Match results,Premier(5.0),Contender(4.5),NA,Women's,NA,WINDY-CITY-CLASSIC-23
2023,7/15/23,X,Challenger,nashvillecup2023,https://fwango.io/nashvillecup2023,Manual Download,Nashville Cup - Spikeball Challenger 2023 - Match results,Premier (5.0),Contender 4.5+,NA,Women's Advanced 4.0+,NA,NASHVILLECUP2023
2023,7/22/23,X,Major,philadelphia2023,https://fwango.io/philadelphia2023,Manual Download,The Philadelphia Major 2023 - Match results,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,PHILADELPHIA2023
2023,7/29/23,X,Challenger,heatwavevi,https://fwango.io/heatwavevi,Manual Download,HeatWave Classic VI - Spikeball Challenger 2023 - Match results,Premier 5.0,Contender 4.5,NA,Women's 4.0,NA,HEATWAVEVI
2023,7/29/23,X,Challenger,ers23md,https://fwango.io/ers23md,Manual Download,The Maryland Monumental _ Spikeball Challenger 2023 _ DAY 1 - Match results,5.0+ Premier (Open),4.5+ Contender (Open),NA,4.0+ Women's Advanced,NA,ERS23MD
2023,7/29/23,X,USAR Sanctioned,crete23,https://fwango.io/crete23,Manual Download,Crete Open - Match results,Expert(4.5),NA,NA,NA,NA,CRETE23
2023,8/5/23,X,USAR Sanctioned,open4,https://fwango.io/open4,Manual Download,San Jose Open #2 -California Roundnet - Match results,Expert 5.0,NA,NA,NA,NA,OPEN4
2023,8/5/23,X,Challenger,thepeopleschampionship,https://fwango.io/thepeopleschampionship,Manual Download,BANG! - Spikeball Challenger 2023 - Match results,Premier,Contender,NA,Womens,NA,THEPEOPLESCHAMPIONSHIP
2023,8/12/23,X,Major,columbus2023,https://fwango.io/columbus2023,Manual Download,The Columbus Major 2023 - Match results,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,COLUMBUS2023
2023,8/19/23,X,Challenger,ers23ct,https://fwango.io/ers23ct,Manual Download,Ethan Song Roundnet Tournament _ Spikeball Challenger 2023 - Match results,5.0+ Premier (Open),4.5+ Contender (Open),NA,NA,NA,ERS23CT
2023,8/26/23,X,USAR Sanctioned,evanston23,https://fwango.io/evanston23,Manual Download,Illinois Roundnet State Championship - Match results,Expert(4.5),NA,NA,NA,NA,EVANSTON23
2023,9/2/23,X,USAR Sanctioned,fra23-major3,https://fwango.io/fra23-major3,Manual Download,Florida Roundnet Major #3 - Gainesville - Match results,Open 5.0 (Expert),NA,NA,NA,NA,FRA23-MAJOR3
2023,9/16/23,X,USAR Sanctioned,ers23alb,https://fwango.io/ers23alb,Manual Download,Smoothie King Cup — East Roundnet Series 2023 — Albany Minor - Match results,Open 4.5+,NA,NA,NA,NA,ERS23ALB
2023,9/29/23,X,Championship,championship2023,https://fwango.io/championship2023,Manual Download,The Championship 2023 - Match results,Open Pro,Premier 5.0+,Contender 4.5+,Women's Pro,Women's Advanced 4.0+,CHAMPIONSHIP2023
2023,10/14/23,X,USAR Sanctioned,sodden,https://fwango.io/sodden,Manual Download,California Roundnet San Diego Open #5 - Match results,Expert 5.0,NA,NA,Women's 4.0+,NA,SODDEN
2023,10/21/23,X,USAR Sanctioned,fl-states23,https://fwango.io/fl-states23,Manual Download,Florida Roundnet - 2023 State Championship - Match results,Open 5.0 (Expert),NA,NA,NA,NA,FL-STATES23
2023,10/28/23,X,USAR Sanctioned,regionals,https://fwango.io/regionals,Manual Download,San Luis Obispo Regionals - California Roundnet - Match results,Expert 5.0,NA,NA,Womens 4.0+,NA,REGIONALS
2023,11/11/23,X,USAR Sanctioned,usar2023nationals,https://fwango.io/usar2023nationals,Manual Download,USA Roundnet Nationals - Match results,5.0+ Men's Pro,NA,NA,4.5+ Women's Pro,NA,USAR2023NATIONALS
2023,12/2/23,X,USAR Sanctioned,californiastatefinals,https://fwango.io/californiastatefinals,Manual Download,California State Finals 2023 - Match Results,Expert 5.0,NA,NA,Womens 4.0+,NA,CALIFORNIASTATEFINALS
2023,12/2/23,X,USAR Sanctioned,texasnationals2023,https://fwango.io/texasnationals2023,Manual Download,TASR Texas Nationals - Match results,Gold 5.0,NA,NA,NA,NA,TEXASNATIONALS2023
2023,12/16/23,X,USAR Sanctioned,ers23xmas,https://fwango.io/ers23xmas,Manual Download,Christmas Classic VII - ERS Championship - Match results,4.5+ Open,NA,NA,Women's Advanced,NA,ERS23XMAS
2024,2/17/24,X,USAR Sanctioned,waco2024,https://fwango.io/usar2024west,Manual Download,2024 Waco TASR Major - Match results,Gold 5.0,NA,NA,NA,NA,WACO2024
2024,2/24/24,X,USAR Sanctioned,usar2024west,https://fwango.io/usar2024west,Manual Download,USAR West Regionals Hosted by California Roundnet - Match results,5.0+ Men's,4.0 Open,NA,4.5+ Women's,NA,USAR2024WEST
2024,3/2/24,X,USAR Sanctioned,usar2024east,https://fwango.io/usar2024east,Manual Download,"USAR East Regionals hosted by Greater Washington Roundnet - Match results - Pool Play,Bracket Stage - 4.0+ Women's,5.0+ Open",5.0+ Open,NA,NA,4.0+ Women's,NA,USAR2024EAST
2024,3/22/24,X,USAR Sanctioned,usar2024south,https://fwango.io/usar2024south,Manual Download,"USAR South Regionals hosted by Texas Roundnet - Match results - Group Stage,Bracket Stage - 4.5+ Women's,5.0+ Men's",5.0+ Men's,NA,NA,NA,NA,USAR2024SOUTH
2024,4/13/24,X,USAR Sanctioned,denver2024,https://fwango.io/denver2024,Manual Download,"Denver Major - Match results - Group Stage,Pool Play,Bracket Stage - Advanced (4.0),Expert (4.5+),Recreational (2.0-3.0)",Expert (4.5+),NA,NA,NA,NA,DENVER2024
2024,4/13/24,X,USAR Sanctioned,usar2024southeast,https://fwango.io/usar2024southeast,Manual Download,"Spikeball Challenger & USAR Southeast Regionals - Match results - Bracket Stage,Bracket Stage,Pool Play - 4.0 Contender,4.5+ Women's,5.0+ Open",5.0+ Open,4.0 Contender,NA,4.5+ Women's,NA,USAR2024SOUTHEAST
2024,4/20/24,X,Challenger,azr-southwest-showcase,https://fwango.io/azr-southwest-showcase,Manual Download,"AZR Southwest Showcase STS Challenger - Match results - Bracket Stage,Pool Play - 4.5 Contender,Women's Advanced 4.0+,Premier 5.0",Premier 5.0,4.5 Contender,NA,Women's Advanced 4.0+,NA,STSAZRSOUTHWESTSHOWCASE
2024,4/28/24,X,USAR Sanctioned,usar2024midwest,https://fwango.io/usar2024midwest,Manual Download,"USAR Midwest Regionals hosted by Illinois Roundnet - Match results - Bracket Stage,Pool Play - 5.0+ Men's",5.0+ Men's,NA,NA,NA,NA,USAR2024MIDWEST
2024,5/4/24,X,Challenger,lagrandslam2024,https://fwango.io/lagrandslam2024,Manual Download,"The Los Angeles Grand Slam - Spikeball Challenger 2024 - Match results - Group Stage,Bracket Stage - Womens 4.0+,Premier 5.0+,Contender 4.5",Premier 5.0+,Contender 4.5,NA,Womens 4.0+,NA,STSLAGRADNSLAM2024
2024,5/11/24,X,Challenger,osgrandslam,https://fwango.io/osgrandslam,Manual Download,"Oceanside Grand Slam #2 - Spikeball Challenger - Match results - Group Stage,Bracket Stage - 4.0 Mixed,4.5 Contender,4.0 Advanced,5.0 Premier,2.0-3.0 Mixed,4.5 Women's",5.0 Premier,4.5 Contender,NA,4.5 Women's,NA,STSOSGRANDSLAM2024
2024,5/25/24,X,USAR Sanctioned,casrregionals2,https://fwango.io/casrregionals2,Manual Download,"California Roundnet Regionals #2 - NorCal - Match results - Bracket Stage,Group Stage - 4.5 Womens,4.0 Advanced,4.5 Contender,5.0 Expert",5.0 Expert,NA,NA,NA,NA,CASRNORCALREGIONAL2024
2024,5/25/24,X,Challenger,raleigh2024,https://fwango.io/raleigh2024,Manual Download,"Raleigh STS Challenger Tour Stop - Match results - Bracket Play,Pool Play - Advanced 3.0 - 4.0,Mixed Intermediate,Premier 5.0+,Womens Advanced 4.0+,Contender 4.0+,Mixed Advanced",Premier 5.0+,Contender 4.0+,NA,Womens Advanced 4.0+,NA,RALIEGH2024
2024,6/1/24,X,Challenger,idahochallenger,https://fwango.io/idahochallenger,Manual Download,"Boise Idaho Challenger, STS - Match results - Bracket Stage,Pool play - Advanced 3.0 - 4.0,Womens,Contender 4.5,Premier - 5.0",Premier - 5.0,Contender 4.5,NA,Womens,NA,IDAHOCHALLENGER2024
2024,6/8/24,X,Challenger,scorch24,https://fwango.io/scorch24,Manual Download,"The Scorch - STS Challenger - Match results - Bracket Play,Pool Play - Free Agent,Contender (Open 4.5),Mixed Intermediate (3.0),Mixed Advanced,Premier (5.0)",Premier (5.0),Contender (Open 4.5),NA,NA,NA,scorch24
2024,6/15/24,X,Major,richmond2024,https://fwango.io/richmond2024,Manual Download,Richmond Major 2024 - Spikeball Tour Series,Premier 5.0+,Open Pro 5.0+,Contender 4.5+,Women's Advanced 4.0+,NA,richmond2024
2024,6/23/24,X,Challenger,minneapolis-challenger-2024,https://fwango.io/minneapolis-challenger-2024,Manual Download,"[STS] Minneapolis Challenger 2024 - Match results - Group Stage,Bracket Stage - Sunday - Mixed,Intermediate (3.0),Premier (5.0+),Women's Division,Contender (4.5)",Premier (5.0+),Contender (4.5),NA,Women's Division,NA,minneapolis-challenger-2024
2024,6/29/24,X,USAR Sanctioned,foco2024,https://fwango.io/foco2024,Manual Download,"FOCO Major - Match results - Bracket Stage,Group Stage - Recreational (2.0-3.0),Advanced (4.0),Free Agent,Expert (4.5+)",Expert (4.5+),NA,NA,NA,NA,foco2024
2024,6/29/24,X,USAR Sanctioned,nationals2024,https://fwango.io/nationals2024,Manual Download,"U.S. Roundnet National Championship - Match results - Bracket Stage,Pool Play - 5.5 Open Bronze_Premier,4.5 Open Contender,4.5+ Women's,Team USA Camp,Follow the Action",5.5 Open Bronze/Premier,4.5 Open Contender,NA,4.5+ Women's,NA,nationals2024
2024,7/13/24,X,Major,chicago2024,https://fwango.io/chicago2024,Manual Download,"Chicago Major 2024 - Spikeball Tour Series - Match results - Group Stage,Bracket Stage - Premier 5.0+,Contender 4.5+,Women's Pro 5.0+,Open Pro 5.0+,Women's Adv 4.0+",Open Pro 5.0+,Premier 5.0+,Contender 4.5+,Women's Pro 5.0+,Premier 5.0+,chicago2024
2024,7/27/24,X,Challenger,mrastcharles24,https://fwango.io/mrastcharles24,Manual Download,MRA Chicago - Match results,Expert(4.5),NA,NA,NA,NA,mrastcharles24
2024,7/27/24,X,Challenger,sts24seattlewa,https://fwango.io/sts24seattlewa,Manual Download,STS Challenger _ Seattle Slam - Match results,Premier,Contender 4.5,NA,Women's Advanced,NA,sts24seattlewa
2024,7/20/24,X,USAR Sanctioned,2024af,https://fwango.io/2024af,Manual Download,"AF Steel Days Super Major - Match results - Bracket Stage,Pool Play - 2.0-3.0 Recreational,4.0 Advanced,4.5 Elite,5.0 Premier",5.0 Premier,4.5 Elite,NA,NA,NA,AFSteel2024
2024,4/27/24,X,USAR Sanctioned,2024springspike,https://fwango.io/2024springspike,Manual Download,"Spring Spike Super Major - Match results - Bracket Stage,Pool Play - 4.5 Elite,5.0 Premier,4.0 Advanced,3.0 Recreational",5.0 Premier,4.5 Elite,NA,NA,NA,2024springspike
2024,8/3/24,X,Major,saltlakecity2024,https://fwango.io/saltlakecity2024,Manual Download,"Salt Lake City Major 2024 - Spikeball Tour Series - Match results - Bracket Stage,Group Stage",Open Pro 5.0+,Premier 5.0+,Contender 4.5+,Women's Advanced 4.0+,NA,saltlakecity2024
2024,8/10/24,X,USAR Sanctioned,wheeling24,https://fwango.io/wheeling24,Manual Download,Illinois State Championship,Expert(4.5+),NA,NA,NA,NA,wheeling24
2024,8/10/24,X,Challenger,ers24bos,https://fwango.io/ers24bos,N,ERS Boston 2024,Premier 5.0+,Open Contender 4.5+,NA,Women's Advanced 4.5+,NA,ers24bos
2024,8/17/24,X,Challenger,thepeopleschampionship2,https://fwango.io/thepeopleschampionship2,N,"BANG the peoples championship - Match results - Bracket Play ,Group Stage  - Womens,Premier,Contender,Intermediate,Coed",Premier,Contender,NA,NA,NA,thepeopleschampionship2