Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Bracket Stage,Expert (4.5+),Bracket A,Quarter-final,Single game,Grab Bag,Kai/Nick,Grab Bag,2,0,Ian Golembeski,Jalen Butkus,Kai Owen,Nick Bradley
Bracket Stage,Expert (4.5+),Bracket A,Quarter-final,Single game,Ballswaldo,Spry Old Men,Ballswaldo,2,0,Jackson Bond,Brett Petersen,Sam Shearer,Thomas Afton
Bracket Stage,Expert (4.5+),Bracket A,Quarter-final,Single game,Dolphin Dive,Diet Coke,Dolphin Dive,2,0,Andre Reynolds,Grant Gouger,Elijah Israel,Dalee Young
Bracket Stage,Expert (4.5+),Bracket A,Quarter-final,Single game,Dan and Beniel,Dollar Tree Roundnet,Dollar Tree Roundnet,0,2,Daniel Blodgett,Ben Reid,Connor Larsen,Zachary Abas
Bracket Stage,Expert (4.5+),Bracket A,Semi-final,Single game,Grab Bag,Dollar Tree Roundnet,Dollar Tree Roundnet,1,2,Ian Golembeski,Jalen Butkus,Connor Larsen,Zachary Abas
Bracket Stage,Expert (4.5+),Bracket A,Semi-final,Single game,Ballswaldo,Dolphin Dive,Ballswaldo,2,0,Jackson Bond,Brett Petersen,Andre Reynolds,Grant Gouger
Bracket Stage,Expert (4.5+),Bracket A,P5: Semi-final,Single game,Dan and Beniel,Kai/Nick,Dan and Beniel,1,0,Daniel Blodgett,Ben Reid,Kai Owen,Nick Bradley
Bracket Stage,Expert (4.5+),Bracket A,P5: Semi-final,Single game,Diet Coke,Spry Old Men,Spry Old Men,19,21,Elijah Israel,Dalee Young,Sam Shearer,Thomas Afton
Bracket Stage,Expert (4.5+),Bracket A,Final,Single game,Dollar Tree Roundnet,Ballswaldo,Ballswaldo,1,2,Connor Larsen,Zachary Abas,Jackson Bond,Brett Petersen
Bracket Stage,Expert (4.5+),Bracket A,P3: Final,Single game,Dolphin Dive,Grab Bag,Dolphin Dive,1,0,Andre Reynolds,Grant Gouger,Ian Golembeski,Jalen Butkus
Bracket Stage,Expert (4.5+),Bracket A,P5: Final,Single game,Dan and Beniel,Spry Old Men,Spry Old Men,0,1,Daniel Blodgett,Ben Reid,Sam Shearer,Thomas Afton
Bracket Stage,Expert (4.5+),Bracket A,P7: Final,Single game,Diet Coke,Kai/Nick,Diet Coke,1,0,Elijah Israel,Dalee Young,Kai Owen,Nick Bradley